status	label	forms
map	gas emissions	gas emissions ; gas emission ; gases emissions ; gases emission ; emissions of gases ; emission of gases ; émissions de gaz ; gas emissions
map	gas exchange	gas exchange ; échange de gaz
map	gene	gene ; genes ; Gene ; gène ; gene
map	gene expression	gene expression ; Gene expression ; expression of genes ; expression for genes ; expression du gène ; gene expression
map	gene flow	gene flow ; Gene flow ; flux de gènes ; gene flow
map	general circulation models	general circulation models ; general circulation model ; General circulation models ; modèles de circulation générale ; general circulation models
map	genetic differentiation	genetic differentiation ; différenciation génétique
map	Genetic diversity	Genetic diversity ; genetic diversity ; diversity and genetic ; diversité génétique ; Genetic diversity
map	genetic structure	genetic structure ; structure génétique
map	genetic variation	genetic variation ; variation génétique
map	geographic distribution	geographic distribution ; geographic distributions ; Geographic distribution ; Répartition géographique ; geographic distribution
map	geographic information system	geographic information system ; geographic information systems ; système d'information géographique ; geographic information system
map	geographic range	geographic range ; geographic ranges ; aire géographique ; geographic range
map	GHG emissions	GHG emissions ; Les émissions de GES
map	global carbon cycle	global carbon cycle ; cycle mondial du carbone
map	global warming potential	global warming potential ; global warming potentials ; potentiel de réchauffement planétaire ; global warming potential
map	grain yield	grain yield ; grain yields ; Grain yield ; rendement en grains ; grain yield
map	grassland ecosystems	grassland ecosystems ; grassland ecosystem ; écosystèmes des prairies ; grassland ecosystems
map	greenhouse gas	greenhouse gas ; greenhouse gases ; Greenhouse gas ; Greenhouse gases ; gaz a effet de serre ; greenhouse gas
